date,price,symbol
2017-01-02,8179.5,NIFTY 50
2017-01-03,8192.25,NIFTY 50
2017-01-04,8190.5,NIFTY 50
2017-01-05,8273.8,NIFTY 50
2017-01-06,8243.8,NIFTY 50
2017-01-09,8236.05,NIFTY 50
2017-01-10,8288.6,NIFTY 50
2017-01-11,8380.65,NIFTY 50
2017-01-12,8407.2,NIFTY 50
2017-01-13,8400.35,NIFTY 50
2017-01-16,8412.8,NIFTY 50
2017-01-17,8398,NIFTY 50
2017-01-18,8417,NIFTY 50
2017-01-19,8435.1,NIFTY 50
2017-01-20,8349.35,NIFTY 50
2017-01-23,8391.5,NIFTY 50
2017-01-24,8475.8,NIFTY 50
2017-01-25,8602.75,NIFTY 50
2017-01-27,8641.25,NIFTY 50
2017-01-30,8632.75,NIFTY 50
2017-01-31,8561.3,NIFTY 50
2017-02-01,8716.4,NIFTY 50
2017-02-02,8734.25,NIFTY 50
2017-02-03,8740.95,NIFTY 50
2017-02-06,8801.05,NIFTY 50
2017-02-07,8768.3,NIFTY 50
2017-02-08,8769.05,NIFTY 50
2017-02-09,8778.4,NIFTY 50
2017-02-10,8793.55,NIFTY 50
2017-02-13,8805.05,NIFTY 50
2017-02-14,8792.3,NIFTY 50
2017-02-15,8724.7,NIFTY 50
2017-02-16,8778,NIFTY 50
2017-02-17,8821.7,NIFTY 50
2017-02-20,8879.2,NIFTY 50
2017-02-21,8907.85,NIFTY 50
2017-02-22,8926.9,NIFTY 50
2017-02-23,8939.5,NIFTY 50
2017-02-27,8896.7,NIFTY 50
2017-02-28,8879.6,NIFTY 50
2017-03-01,8945.8,NIFTY 50
2017-03-02,8899.75,NIFTY 50
2017-03-03,8897.55,NIFTY 50
2017-03-06,8963.45,NIFTY 50
2017-03-07,8946.9,NIFTY 50
2017-03-08,8924.3,NIFTY 50
2017-03-09,8927,NIFTY 50
2017-03-10,8934.55,NIFTY 50
2017-03-14,9087,NIFTY 50
2017-03-15,9084.8,NIFTY 50
2017-03-16,9153.7,NIFTY 50
2017-03-17,9160.05,NIFTY 50
2017-03-20,9126.85,NIFTY 50
2017-03-21,9121.5,NIFTY 50
2017-03-22,9030.45,NIFTY 50
2017-03-23,9086.3,NIFTY 50
2017-03-24,9108,NIFTY 50
2017-03-27,9045.2,NIFTY 50
2017-03-28,9100.8,NIFTY 50
2017-03-29,9143.8,NIFTY 50
2017-03-30,9173.75,NIFTY 50
2017-03-31,9173.75,NIFTY 50
2017-04-03,9237.85,NIFTY 50
2017-04-05,9265.15,NIFTY 50
2017-04-06,9261.95,NIFTY 50
2017-04-07,9198.3,NIFTY 50
2017-04-10,9181.45,NIFTY 50
2017-04-11,9237,NIFTY 50
2017-04-12,9203.45,NIFTY 50
2017-04-13,9150.8,NIFTY 50
2017-04-17,9139.3,NIFTY 50
2017-04-18,9105.15,NIFTY 50
2017-04-19,9103.5,NIFTY 50
2017-04-20,9136.4,NIFTY 50
2017-04-21,9119.4,NIFTY 50
2017-04-24,9217.95,NIFTY 50
2017-04-25,9306.6,NIFTY 50
2017-04-26,9351.85,NIFTY 50
2017-04-27,9342.15,NIFTY 50
2017-04-28,9304.05,NIFTY 50
2017-05-02,9313.8,NIFTY 50
2017-05-03,9311.95,NIFTY 50
2017-05-04,9359.9,NIFTY 50
2017-05-05,9285.3,NIFTY 50
2017-05-08,9314.05,NIFTY 50
2017-05-09,9316.85,NIFTY 50
2017-05-10,9407.3,NIFTY 50
